name	block	poss	xcoord	ycoord	treat	col.E	total_treat	flooded	tag	mother	sp	poss	A	E	U	gs	Tlm	Qleaf	jam	starttime 	time	dtime	Ci	com	date	cycle.start	dia
A7	A	7	3	0	6	yellow	1	1	A_Ptom_7	Ptom_3	ptom	7	2.05	1.18	NA	NA	NA	103	15:00	08:00	07:00	7	NA	NA	30.07.2015	14.07.2015	4.24
A73	A	73	0	4.5	12	blue	15	0	A_Dry_73	Dl_m_4	dry	73	0.19	0.31	70.5	0.01	3.74	82	12:56	08:00	04:56	4.93	251	NA	07.08.2015	04.08.2015	5.78
A74	A	74	0.5	4.5	0	white	0	0	A_Sbec_74	SHOREABECCARINA_Sbec	sbec	74	1.28	0.79	70.5	0.05	36.9	131	15:47	08:00	07:47	7.78	325	NA	12.08.2015	04.08.2015	4.9
A76	A	76	1.5	4.5	6	yellow	6	0	A_Ssmi_76	Ssmi_19	ssmi	76	0.09	0.36	71.2	0.02	36.3	59	13:01	08:00	05:01	5.02	365	NA	07.08.2015	04.08.2015	4.42
A76	A	76	1.5	4.5	6	yellow	1	1	A_Ssmi_76	Ssmi_19	ssmi	76	1.25	0.61	NA	NA	NA	170	15:33	08:00	07:33	7.55	NA	NA	30.07.2015	14.07.2015	4.42
A79	A	79	3	4.5	0	white	0	0	A_Ptom_79	Ptom_2_RDC	ptom	79	2	1.38	71.5	0.01	35.8	64	13:23	08:00	05:23	5.38	337	NA	07.08.2015	04.08.2015	4.25
A80	A	80	3.5	4.5	9	black 	9	0	A_Sjoh_80	8m_SJoh_7	sjoh	80	0.43	0.69	70.5	0.05	36.6	198	15:52	08:00	07:52	7.87	358	NA	12.08.2015	04.08.2015	5.64
A80	A	80	3.5	4.5	9	black	4	1	A_Sjoh_80	8m_SJoh_7	sjoh	80	0.11	0.79	NA	NA	NA	291	15:40	08:00	07:40	7.67	NA	NA	30.07.2015	14.07.2015	5.64
A84	A	84	1.5	5	3	orange	3	0	A_Slep_84	SL_m_6	slep	84	0.41	0.25	70.8	0.02	36.6	191	15:57	08:00	07:57	7.95	331	NA	12.08.2015	04.08.2015	4.53
A85	A	85	2	5	18	silver	13	1	A_Dry_85	DL_m_7	dry	85	1.25	0.5	NA	NA	NA	293	15:45	08:00	07:45	7.75	NA	NA	30.07.2015	14.07.2015	4.36
A87	A	87	3	5	9	black 	9	0	A_Ssem_87	Ssem_ou	ssem	87	1.91	0.62	70.8	0.04	36.7	2011	16:03	08:00	08:03	8.05	274	NA	12.08.2015	04.08.2015	4.3
A90	A	90	0.5	5.5	3	orange	0	1	A_Ptom_90	Ptom_3	ptom	90	2.05	1.21	NA	NA	NA	554	11:57	08:00	03:57	3.95	NA	NA	29.07.2015	14.07.2015	3.49
